id,nome,preco,precoparcelado,descontoPorcentagem,link,vendedor,freteGratis,oferta,OpenBox
89279,"Placa de Vídeo RX 550 Sapphire AMD Radeon Pulse, 4 GB GDDR5 - 11268-01-20G","819,99","964,69",15,https://kabum.com.br/produto/89279/placa-de-video-rx-550-sapphire-amd-radeon-pulse-4-gb-gddr5-11268-01-20g,KaBuM!,FALSE,"{'idOferta': 723082, 'nomeOferta': 'Oferta Ninja', 'inicio': '2023-05-01 08:00:00', 'termino': '2023-06-02 08:00:00', 'exclusivoPrime': None, 'preco': 776.99, 'precoParcelado': 914.11, 'descontoPorcentagem': 5, 'disponivel': 99}",TRUE
388814,"Placa de Vídeo RTX 4090 Trinity OC Gaming Zotac NVIDIA GeForce, 24GB GDDR6X, ARGB, DLSS, Ray Tracing - ZT-D40900J-10P","11288,99","12543,32",10,https://kabum.com.br/produto/388814/placa-de-video-rtx-4090-trinity-oc-gaming-zotac-nvidia-geforce-24gb-gddr6x-argb-dlss-ray-tracing-zt-d40900j-10p,KaBuM!,FALSE,"{'idOferta': 722905, 'nomeOferta': 'Oferta Ninja', 'inicio': '2023-05-01 08:00:00', 'termino': '2023-06-01 08:00:00', 'exclusivoPrime': None, 'preco': 10719.99, 'precoParcelado': 11911.1, 'descontoPorcentagem': 5, 'disponivel': 78}",FALSE
397596,"Placa de Vídeo RTX 4080 Gaming OC Gigabyte NVIDIA GeForce, 16 GB GDDR6X, DLSS, Ray Tracing - 9VN4080GO-00-10","9349,99","10999,99",15,https://kabum.com.br/produto/397596/placa-de-video-rtx-4080-gaming-oc-gigabyte-nvidia-geforce-16-gb-gddr6x-dlss-ray-tracing-9vn4080go-00-10,KaBuM!,FALSE,"{'idOferta': 723121, 'nomeOferta': 'Oferta Ninja', 'inicio': '2023-05-01 08:00:00', 'termino': '2023-06-02 08:00:00', 'exclusivoPrime': None, 'preco': 8389.99, 'precoParcelado': 9870.58, 'descontoPorcentagem': 10, 'disponivel': 10}",FALSE
129772,"Placa de Vídeo RX 550 Asus Phoenix AMD Radeon, 4GB, GDDR5 - PH-RX550-4G-EVO","899,99","1058,81",15,https://kabum.com.br/produto/129772/placa-de-video-rx-550-asus-phoenix-amd-radeon-4gb-gddr5-ph-rx550-4g-evo,KaBuM!,FALSE,"{'idOferta': 716586, 'nomeOferta': 'Oferta Ninja', 'inicio': '2023-05-02 08:00:00', 'termino': '2023-06-01 08:00:00', 'exclusivoPrime': None, 'preco': 799.99, 'precoParcelado': 941.16, 'descontoPorcentagem': 11, 'disponivel': 79}",TRUE
94563,"Placa de Vídeo GT 730 EVGA NVIDIA GeForce, 2 GB GDDR5 - 02G-P3-3733-KR","539,99","635,28",15,https://kabum.com.br/produto/94563/placa-de-video-gt-730-evga-nvidia-geforce-2-gb-gddr5-02g-p3-3733-kr,KaBuM!,FALSE,"{'idOferta': 717028, 'nomeOferta': 'Mega Maio', 'inicio': '2023-05-01 20:00:00', 'termino': '2023-06-01 08:30:00', 'exclusivoPrime': None, 'preco': 469.99, 'precoParcelado': 552.93, 'descontoPorcentagem': 12, 'disponivel': 381}",FALSE
150482,"Placa de Vídeo RX 6700 XT Asus AMD Radeon, 12GB GDDR6, 16 Gbps - DUAL-RX6700XT-12G","4519,99","5022,21",10,https://kabum.com.br/produto/150482/placa-de-video-rx-6700-xt-asus-amd-radeon-12gb-gddr6-16-gbps-dual-rx6700xt-12g,KaBuM!,FALSE,"{'idOferta': 720262, 'nomeOferta': 'Oferta Ninja', 'inicio': '2023-05-01 08:00:00', 'termino': '2023-06-01 08:00:00', 'exclusivoPrime': None, 'preco': 3699.99, 'precoParcelado': 4111.1, 'descontoPorcentagem': 18, 'disponivel': 6}",FALSE
197136,"Placa de Vídeo RTX 3060 Eagle Gigabyte NVIDIA GeForce, rev. 2.0, 12G GDDR6, DLSS, Ray Tracing - GV-N3060EAGLE OC-12GD","2749,99","3235,28",15,https://kabum.com.br/produto/197136/placa-de-video-rtx-3060-eagle-gigabyte-nvidia-geforce-rev-2-0-12g-gddr6-dlss-ray-tracing-gv-n3060eagle-oc-12gd,KaBuM!,FALSE,"{'idOferta': 715886, 'nomeOferta': 'Oferta Ninja', 'inicio': '2023-05-02 08:00:00', 'termino': '2023-06-01 08:00:00', 'exclusivoPrime': None, 'preco': 2609.99, 'precoParcelado': 3070.58, 'descontoPorcentagem': 5, 'disponivel': 27}",FALSE
404761,"Placa de Vídeo Galax NVIDIA GeForce RTX 3060 OC, 8GB GDDR6, LHR, 1-Click, 192 Bits - 36NSL8MD6OCC","2363,64","2685,95",12,https://kabum.com.br/produto/404761/placa-de-video-galax-nvidia-geforce-rtx-3060-oc-8gb-gddr6-lhr-1-click-192-bits-36nsl8md6occ,Patoloco,FALSE,"{'idOferta': 718500, 'nomeOferta': 'Mega Maio', 'inicio': '2023-05-04 17:01:00', 'termino': '2023-06-02 08:00:00', 'exclusivoPrime': None, 'preco': 1969.99, 'precoParcelado': 2238.62, 'descontoPorcentagem': 16, 'disponivel': 27}",FALSE
398081,"Placa de Vídeo RTX 3060 OC Edition Asus Dual GeForce, 8 GB GDDR6, DLSS, Ray Tracing - DUAL-RTX3060-O8G","2699,99","3176,46",15,https://kabum.com.br/produto/398081/placa-de-video-rtx-3060-oc-edition-asus-dual-geforce-8-gb-gddr6-dlss-ray-tracing-dual-rtx3060-o8g,KaBuM!,FALSE,"{'idOferta': 718206, 'nomeOferta': 'Oferta Ninja', 'inicio': '2023-05-03 16:11:00', 'termino': '2023-06-01 08:00:00', 'exclusivoPrime': None, 'preco': 2149.99, 'precoParcelado': 2529.4, 'descontoPorcentagem': 20, 'disponivel': 34}",FALSE
261040,"Placa de Vídeo RX 6600 XFX Core Gaming Speedster SWFT 210 AMD Radeon Graphics Card, 8GB GDDR6, AMD RDNA 2 - RX-66XL8LFDQ","3259,99","3622,21",10,https://kabum.com.br/produto/261040/placa-de-video-rx-6600-xfx-core-gaming-speedster-swft-210-amd-radeon-graphics-card-8gb-gddr6-amd-rdna-2-rx-66xl8lfdq,KaBuM!,FALSE,"{'idOferta': 722314, 'nomeOferta': 'Oferta Ninja', 'inicio': '2023-05-01 08:00:00', 'termino': '2023-06-01 08:00:00', 'exclusivoPrime': None, 'preco': 2579.99, 'precoParcelado': 2866.66, 'descontoPorcentagem': 20, 'disponivel': 60}",TRUE
